subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
179,1900-01-01 16:41:17.131424968,,,,184.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
180,1900-01-01 16:41:17.253277839,,,,185.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
181,1900-01-01 16:41:17.375140413,,,,186.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
182,1900-01-01 16:41:17.496970987,,,,187.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
183,1900-01-01 16:41:18.618904468,,,,188.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
184,1900-01-01 16:41:18.740717838,,,,189.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
185,1900-01-01 16:41:18.862547283,,,,190.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
186,1900-01-01 16:41:18.984448431,,,,191.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
187,1900-01-01 16:41:18.106290412,,,,192.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
188,1900-01-01 16:41:18.228105449,,,,193.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
189,1900-01-01 16:41:18.350004375,,,,194.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
190,1900-01-01 16:41:18.471851671,,,,195.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
191,1900-01-01 16:41:19.593691653,,,,196.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
192,1900-01-01 16:41:19.715560356,,,,197.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
193,1900-01-01 16:41:19.837432245,,,,198.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
194,1900-01-01 16:41:19.959291578,,,,199.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
195,1900-01-01 16:41:19.811528190,,,,200.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
196,1900-01-01 16:41:19.203020597,,,,201.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
